"","estimates","methods","scene","par"
"258",0.484904967992643,"Q-Learning with lasso","Scenario 1","psi0"
"259",0.835841676173194,"Q-Learning with lasso","Scenario 1","psi0"
"260",1.34663085105218,"Q-Learning with lasso","Scenario 1","psi0"
"261",0.827277948662825,"Q-Learning with lasso","Scenario 1","psi0"
"262",1.11712301762138,"Q-Learning with lasso","Scenario 1","psi0"
"263",0.628808335989749,"Q-Learning with lasso","Scenario 1","psi0"
"264",1.47504038444334,"Q-Learning with lasso","Scenario 1","psi0"
"265",0.308943410456364,"Q-Learning with lasso","Scenario 1","psi0"
"266",0.976943424000729,"Q-Learning with lasso","Scenario 1","psi0"
"267",0.777077466398295,"Q-Learning with lasso","Scenario 1","psi0"
"268",1.10701583077429,"Q-Learning with lasso","Scenario 1","psi0"
"269",1.31013612213635,"Q-Learning with lasso","Scenario 1","psi0"
"270",0.349846272653566,"Q-Learning with lasso","Scenario 1","psi0"
"271",1.00245629426088,"Q-Learning with lasso","Scenario 1","psi0"
"272",1.03610453216164,"Q-Learning with lasso","Scenario 1","psi0"
"273",1.16422034749594,"Q-Learning with lasso","Scenario 1","psi0"
"274",0.692817226983176,"Q-Learning with lasso","Scenario 1","psi0"
"275",0.879123277781837,"Q-Learning with lasso","Scenario 1","psi0"
"276",0.822982610861644,"Q-Learning with lasso","Scenario 1","psi0"
"277",0.939289302036989,"Q-Learning with lasso","Scenario 1","psi0"
"278",0.546778489318405,"Q-Learning with lasso","Scenario 1","psi0"
"279",0.323533780379308,"Q-Learning with lasso","Scenario 1","psi0"
"280",1.1033546529018,"Q-Learning with lasso","Scenario 1","psi0"
"281",1.28970211539146,"Q-Learning with lasso","Scenario 1","psi0"
"282",0.148192566080334,"Q-Learning with lasso","Scenario 1","psi0"
"283",0.78446980124876,"Q-Learning with lasso","Scenario 1","psi0"
"284",0.732660615533502,"Q-Learning with lasso","Scenario 1","psi0"
"285",1.04897897179505,"Q-Learning with lasso","Scenario 1","psi0"
"286",0.512642557000376,"Q-Learning with lasso","Scenario 1","psi0"
"287",0.750885279222556,"Q-Learning with lasso","Scenario 1","psi0"
"288",0.849332603618576,"Q-Learning with lasso","Scenario 1","psi0"
"289",1.38470535713544,"Q-Learning with lasso","Scenario 1","psi0"
"290",1.04640838292289,"Q-Learning with lasso","Scenario 1","psi0"
"291",1.38579790446153,"Q-Learning with lasso","Scenario 1","psi0"
"292",0.284767401824859,"Q-Learning with lasso","Scenario 1","psi0"
"293",1.51835044853721,"Q-Learning with lasso","Scenario 1","psi0"
"294",1.31208451627539,"Q-Learning with lasso","Scenario 1","psi0"
"295",0.739907054494927,"Q-Learning with lasso","Scenario 1","psi0"
"296",1.60660871683103,"Q-Learning with lasso","Scenario 1","psi0"
"297",0.464086503905513,"Q-Learning with lasso","Scenario 1","psi0"
"298",1.37745025834144,"Q-Learning with lasso","Scenario 1","psi0"
"299",1.24774340024809,"Q-Learning with lasso","Scenario 1","psi0"
"300",1.34916382322327,"Q-Learning with lasso","Scenario 1","psi0"
"301",0.873924713311193,"Q-Learning with lasso","Scenario 1","psi0"
"302",0.942895666572774,"Q-Learning with lasso","Scenario 1","psi0"
"303",1.20844195142342,"Q-Learning with lasso","Scenario 1","psi0"
"304",0.872210920520969,"Q-Learning with lasso","Scenario 1","psi0"
"305",1.30138480172756,"Q-Learning with lasso","Scenario 1","psi0"
"306",0.956699286585625,"Q-Learning with lasso","Scenario 1","psi0"
"307",0.886417647671241,"Q-Learning with lasso","Scenario 1","psi0"
"308",1.00251809077232,"Q-Learning with lasso","Scenario 1","psi0"
"309",1.04364752492591,"Q-Learning with lasso","Scenario 1","psi0"
"310",1.28717733552739,"Q-Learning with lasso","Scenario 1","psi0"
"311",1.31199526908336,"Q-Learning with lasso","Scenario 1","psi0"
"312",1.09009021888336,"Q-Learning with lasso","Scenario 1","psi0"
"313",1.27047410780346,"Q-Learning with lasso","Scenario 1","psi0"
"314",1.08693500607166,"Q-Learning with lasso","Scenario 1","psi0"
"315",1.5514973178439,"Q-Learning with lasso","Scenario 1","psi0"
"316",0.938671262497549,"Q-Learning with lasso","Scenario 1","psi0"
"317",0.80276373490993,"Q-Learning with lasso","Scenario 1","psi0"
"318",0.710326757014057,"Q-Learning with lasso","Scenario 1","psi0"
"319",0.962092314757843,"Q-Learning with lasso","Scenario 1","psi0"
"320",0.475969474790672,"Q-Learning with lasso","Scenario 1","psi0"
"321",1.17922117172138,"Q-Learning with lasso","Scenario 1","psi0"
"322",0.661762165105679,"Q-Learning with lasso","Scenario 1","psi0"
"323",0.979305305783102,"Q-Learning with lasso","Scenario 1","psi0"
"324",0.957554045680684,"Q-Learning with lasso","Scenario 1","psi0"
"325",1.03638407341236,"Q-Learning with lasso","Scenario 1","psi0"
"326",0.845801986899188,"Q-Learning with lasso","Scenario 1","psi0"
"327",0.114722380372758,"Q-Learning with lasso","Scenario 1","psi0"
"328",1.06866243998778,"Q-Learning with lasso","Scenario 1","psi0"
"329",0.453599951616895,"Q-Learning with lasso","Scenario 1","psi0"
"330",0.495778390199646,"Q-Learning with lasso","Scenario 1","psi0"
"331",0.424620663606155,"Q-Learning with lasso","Scenario 1","psi0"
"332",1.05545627120797,"Q-Learning with lasso","Scenario 1","psi0"
"333",0.568022334388159,"Q-Learning with lasso","Scenario 1","psi0"
"334",0.904734930024642,"Q-Learning with lasso","Scenario 1","psi0"
"335",0.552604447001623,"Q-Learning with lasso","Scenario 1","psi0"
"336",1.00428647895677,"Q-Learning with lasso","Scenario 1","psi0"
"337",0.862552594958869,"Q-Learning with lasso","Scenario 1","psi0"
"338",1.1219954944942,"Q-Learning with lasso","Scenario 1","psi0"
"339",1.71945981278846,"Q-Learning with lasso","Scenario 1","psi0"
"340",1.20460985127506,"Q-Learning with lasso","Scenario 1","psi0"
"341",0.597148135811715,"Q-Learning with lasso","Scenario 1","psi0"
"342",0.94155110803417,"Q-Learning with lasso","Scenario 1","psi0"
"343",1.03650910446559,"Q-Learning with lasso","Scenario 1","psi0"
"344",0.539739791588759,"Q-Learning with lasso","Scenario 1","psi0"
"345",1.12475245606199,"Q-Learning with lasso","Scenario 1","psi0"
"346",0.825768537964658,"Q-Learning with lasso","Scenario 1","psi0"
"347",0.185662600672105,"Q-Learning with lasso","Scenario 1","psi0"
"348",1.2637906547513,"Q-Learning with lasso","Scenario 1","psi0"
"349",1.3105140774236,"Q-Learning with lasso","Scenario 1","psi0"
"350",1.10124033233063,"Q-Learning with lasso","Scenario 1","psi0"
"351",1.17763008641703,"Q-Learning with lasso","Scenario 1","psi0"
"352",0.980057143440232,"Q-Learning with lasso","Scenario 1","psi0"
"353",0.75048387861524,"Q-Learning with lasso","Scenario 1","psi0"
"354",1.48309955098665,"Q-Learning with lasso","Scenario 1","psi0"
"355",0.680261963585282,"Q-Learning with lasso","Scenario 1","psi0"
"356",0.494139204965831,"Q-Learning with lasso","Scenario 1","psi0"
"357",1.40541645483753,"Q-Learning with lasso","Scenario 1","psi0"
"358",1.55199157149143,"Q-Learning with lasso","Scenario 1","psi0"
"359",1.17221836974972,"Q-Learning with lasso","Scenario 1","psi0"
"360",0.638513762322367,"Q-Learning with lasso","Scenario 1","psi0"
"361",1.48158621678722,"Q-Learning with lasso","Scenario 1","psi0"
"362",0.890203946314284,"Q-Learning with lasso","Scenario 1","psi0"
"363",1.22156493987906,"Q-Learning with lasso","Scenario 1","psi0"
"364",1.64636371378528,"Q-Learning with lasso","Scenario 1","psi0"
"365",1.14982186500256,"Q-Learning with lasso","Scenario 1","psi0"
"366",0.476674891455708,"Q-Learning with lasso","Scenario 1","psi0"
"367",0.627964958007704,"Q-Learning with lasso","Scenario 1","psi0"
"368",0.845952798284225,"Q-Learning with lasso","Scenario 1","psi0"
"369",1.5815839732066,"Q-Learning with lasso","Scenario 1","psi0"
"370",0.262427940058285,"Q-Learning with lasso","Scenario 1","psi0"
"371",0.908449235509384,"Q-Learning with lasso","Scenario 1","psi0"
"372",0.916479423028064,"Q-Learning with lasso","Scenario 1","psi0"
"373",1.37005296372204,"Q-Learning with lasso","Scenario 1","psi0"
"374",1.63358944746907,"Q-Learning with lasso","Scenario 1","psi0"
"375",0.94318698456761,"Q-Learning with lasso","Scenario 1","psi0"
"376",1.72734887399517,"Q-Learning with lasso","Scenario 1","psi0"
"377",0.734137633898226,"Q-Learning with lasso","Scenario 1","psi0"
"378",0.870753103652555,"Q-Learning with lasso","Scenario 1","psi0"
"379",1.0423211042232,"Q-Learning with lasso","Scenario 1","psi0"
"380",0.923659927335346,"Q-Learning with lasso","Scenario 1","psi0"
"381",0.545585872321478,"Q-Learning with lasso","Scenario 1","psi0"
